JAVA,XML
use://app/src/main/java/org/schabi/newpipe/info_list/holder/PlaylistMiniInfoItemHolder.java//R.id.itemUploaderView,def://app/src/main/res/layout/list_stream_mini_item.xml//RelativeLayout/TextView/android:id//@+id\/itemUploaderView
use://app/src/main/java/org/schabi/newpipe/info_list/holder/PlaylistMiniInfoItemHolder.java//R.id.itemUploaderView,def://app/src/main/res/layout/list_stream_item.xml//RelativeLayout/TextView/android:id//@+id\/itemUploaderView
use://app/src/main/java/org/schabi/newpipe/fragments/detail/VideoDetailFragment.java//R.id.detail_thumbnail_play_button,def://app/src/main/res/layout-large-land/fragment_video_detail.xml//LinearLayout/androidx.coordinatorlayout.widget.CoordinatorLayout/com.google.android.material.appbar.AppBarLayout/com.google.android.material.appbar.CollapsingToolbarLayout/FrameLayout/ImageView/android:id//@+id\/detail_thumbnail_play_button
use://app/src/main/java/org/schabi/newpipe/fragments/detail/VideoDetailFragment.java//R.id.detail_thumbnail_play_button,def://app/src/main/res/layout/fragment_video_detail.xml//FrameLayout/androidx.coordinatorlayout.widget.CoordinatorLayout/com.google.android.material.appbar.AppBarLayout/com.google.android.material.appbar.CollapsingToolbarLayout/FrameLayout/ImageView/android:id//@+id\/detail_thumbnail_play_button
use://app/src/main/java/org/schabi/newpipe/player/playqueue/PlayQueueItemHolder.java//R.id.itemRoot,def://app/src/main/res/layout/list_channel_item.xml//RelativeLayout/android:id//@+id\/itemRoot
use://app/src/main/java/org/schabi/newpipe/player/playqueue/PlayQueueItemHolder.java//R.id.itemRoot,def://app/src/main/res/layout/list_stream_mini_item.xml//RelativeLayout/android:id//@+id\/itemRoot
use://app/src/main/java/org/schabi/newpipe/player/playqueue/PlayQueueItemHolder.java//R.id.itemRoot,def://app/src/main/res/layout/list_channel_grid_item.xml//RelativeLayout/android:id//@+id\/itemRoot
use://app/src/main/java/org/schabi/newpipe/player/playqueue/PlayQueueItemHolder.java//R.id.itemRoot,def://app/src/main/res/layout/list_channel_mini_item.xml//RelativeLayout/android:id//@+id\/itemRoot
use://app/src/main/java/org/schabi/newpipe/player/playqueue/PlayQueueItemHolder.java//R.id.itemRoot,def://app/src/main/res/layout/list_playlist_grid_item.xml//RelativeLayout/android:id//@+id\/itemRoot
use://app/src/main/java/org/schabi/newpipe/player/playqueue/PlayQueueItemHolder.java//R.id.itemRoot,def://app/src/main/res/layout/dialog_title.xml//RelativeLayout/android:id//@+id\/itemRoot
use://app/src/main/java/org/schabi/newpipe/player/playqueue/PlayQueueItemHolder.java//R.id.itemRoot,def://app/src/main/res/layout/list_comments_mini_item.xml//RelativeLayout/android:id//@+id\/itemRoot
use://app/src/main/java/org/schabi/newpipe/player/playqueue/PlayQueueItemHolder.java//R.id.itemRoot,def://app/src/main/res/layout/list_playlist_item.xml//RelativeLayout/android:id//@+id\/itemRoot
use://app/src/main/java/org/schabi/newpipe/player/playqueue/PlayQueueItemHolder.java//R.id.itemRoot,def://app/src/main/res/layout/list_playlist_mini_item.xml//RelativeLayout/android:id//@+id\/itemRoot
use://app/src/main/java/org/schabi/newpipe/player/playqueue/PlayQueueItemHolder.java//R.id.itemRoot,def://app/src/main/res/layout/list_stream_grid_item.xml//RelativeLayout/android:id//@+id\/itemRoot
use://app/src/main/java/org/schabi/newpipe/player/playqueue/PlayQueueItemHolder.java//R.id.itemRoot,def://app/src/main/res/layout/list_comments_item.xml//RelativeLayout/android:id//@+id\/itemRoot
use://app/src/main/java/org/schabi/newpipe/player/playqueue/PlayQueueItemHolder.java//R.id.itemRoot,def://app/src/main/res/layout/list_stream_playlist_grid_item.xml//RelativeLayout/android:id//@+id\/itemRoot
use://app/src/main/java/org/schabi/newpipe/player/playqueue/PlayQueueItemHolder.java//R.id.itemRoot,def://app/src/main/res/layout/list_stream_item.xml//RelativeLayout/android:id//@+id\/itemRoot
use://app/src/main/java/org/schabi/newpipe/player/playqueue/PlayQueueItemHolder.java//R.id.itemRoot,def://app/src/main/res/layout/list_stream_playlist_item.xml//RelativeLayout/android:id//@+id\/itemRoot
use://app/src/main/java/org/schabi/newpipe/player/playqueue/PlayQueueItemHolder.java//R.id.itemRoot,def://app/src/main/res/layout/play_queue_item.xml//RelativeLayout/android:id//@+id\/itemRoot
use://app/src/main/java/org/schabi/newpipe/ReCaptchaActivity.java//R.id.reCaptchaWebView,def://app/src/main/res/layout/activity_recaptcha.xml//RelativeLayout/WebView/android:id//@+id\/reCaptchaWebView
use://app/src/main/java/org/schabi/newpipe/player/ServicePlayerActivity.java//R.id.control_play_pause,def://app/src/main/res/layout-land/activity_player_queue_control.xml//RelativeLayout/RelativeLayout/RelativeLayout/ImageButton/android:id//@+id\/control_play_pause
use://app/src/main/java/org/schabi/newpipe/player/ServicePlayerActivity.java//R.id.control_play_pause,def://app/src/main/res/layout/activity_player_queue_control.xml//RelativeLayout/RelativeLayout/ImageButton/android:id//@+id\/control_play_pause
